population,geo_code,2023
Live in cities,AT,59.995000000000005
Live in cities,BA,38.6475
Live in cities,BE,43.8625
Live in cities,BG,35.05
Live in cities,CH,61.55
Live in cities,CY,44.5325
Live in cities,CZ,59.126666666666665
Live in cities,DE,52.03
Live in cities,DK,61.89
Live in cities,EA,
Live in cities,EE,56.019999999999996
Live in cities,EL,41.285
Live in cities,ES,58.185
Live in cities,EU27_2020,
Live in cities,FI,74.7975
Live in cities,FR,55.825
Live in cities,HR,54.724999999999994
Live in cities,HU,52.8025
Live in cities,IE,
Live in cities,IS,
Live in cities,IT,48.365
Live in cities,LT,49.035
Live in cities,LU,55.5775
Live in cities,LV,45.2975
Live in cities,MK,
Live in cities,MT,48.292500000000004
Live in cities,NL,67.65
Live in cities,NO,67.465
Live in cities,PL,52.057500000000005
Live in cities,PT,39.182500000000005
Live in cities,RO,31.1375
Live in cities,SE,58.5625
Live in cities,SI,42.905
Live in cities,SK,43.57000000000001
Live in rural areas,AT,48.78
Live in rural areas,BA,30.3875
Live in rural areas,BE,42.2875
Live in rural areas,BG,16.8575
Live in rural areas,CH,52.6575
Live in rural areas,CY,48.574999999999996
Live in rural areas,CZ,48.903333333333336
Live in rural areas,DE,41.77
Live in rural areas,DK,49.035
Live in rural areas,EA,
Live in rural areas,EE,46.0875
Live in rural areas,EL,25.16
Live in rural areas,ES,46.95
Live in rural areas,EU27_2020,
Live in rural areas,FI,57.457499999999996
Live in rural areas,FR,45.695
Live in rural areas,HR,40.575
Live in rural areas,HU,32.9275
Live in rural areas,IE,
Live in rural areas,IS,
Live in rural areas,IT,39.1875
Live in rural areas,LT,39.0725
Live in rural areas,LU,50.254999999999995
Live in rural areas,LV,28.8675
Live in rural areas,MK,
Live in rural areas,MT,
Live in rural areas,NL,59.7425
Live in rural areas,NO,49.817499999999995
Live in rural areas,PL,36.0325
Live in rural areas,PT,25.2
Live in rural areas,RO,18.225
Live in rural areas,SE,42.3825
Live in rural areas,SI,36.435
Live in rural areas,SK,31.357499999999998
Live in towns and suburbs,AT,54.4575
Live in towns and suburbs,BE,44.3975
Live in towns and suburbs,BG,21.7375
Live in towns and suburbs,CH,56.5025
Live in towns and suburbs,CY,50.235
Live in towns and suburbs,CZ,52.32333333333333
Live in towns and suburbs,DE,44.78
Live in towns and suburbs,DK,51.519999999999996
Live in towns and suburbs,EA,
Live in towns and suburbs,EE,45.207499999999996
Live in towns and suburbs,EL,40.5175
Live in towns and suburbs,ES,49.045
Live in towns and suburbs,EU27_2020,
Live in towns and suburbs,FI,61.47
Live in towns and suburbs,FR,47.94
Live in towns and suburbs,HR,47.519999999999996
Live in towns and suburbs,HU,40.54
Live in towns and suburbs,IE,
Live in towns and suburbs,IS,
Live in towns and suburbs,IT,43.1125
Live in towns and suburbs,LT,38.38
Live in towns and suburbs,LU,47.225
Live in towns and suburbs,LV,36.295
Live in towns and suburbs,MK,
Live in towns and suburbs,MT,45.1
Live in towns and suburbs,NL,63.747499999999995
Live in towns and suburbs,NO,60.185
Live in towns and suburbs,PL,44.54
Live in towns and suburbs,PT,31.384999999999998
Live in towns and suburbs,RO,21.7525
Live in towns and suburbs,SE,50.4975
Live in towns and suburbs,SI,41.7575
Live in towns and suburbs,SK,37.69
