population,geo_code,2021
Live in cities,AT,59.6975
Live in cities,BA,
Live in cities,BE,37.394999999999996
Live in cities,BG,33.335
Live in cities,CH,61.040000000000006
Live in cities,CY,42.935
Live in cities,CZ,43.807500000000005
Live in cities,DE,42.61
Live in cities,DK,60.1575
Live in cities,EA,51.1475
Live in cities,EE,50.7275
Live in cities,EL,40.8
Live in cities,ES,56.905
Live in cities,EU27_2020,49.69
Live in cities,FI,70.4775
Live in cities,FR,58.0425
Live in cities,HR,51.26
Live in cities,HU,44.2175
Live in cities,IE,59.3575
Live in cities,IS,61.072500000000005
Live in cities,IT,46.2575
Live in cities,LT,49.8225
Live in cities,LU,59.8725
Live in cities,LV,45.7325
Live in cities,MK,27.11
Live in cities,MT,44.515
Live in cities,NL,64.295
Live in cities,NO,63.8875
Live in cities,PL,45.472500000000004
Live in cities,PT,38.144999999999996
Live in cities,RO,29.817500000000003
Live in cities,SE,58.5125
Live in cities,SI,46.3375
Live in cities,SK,49.2575
Live in rural areas,AT,48.375
Live in rural areas,BA,
Live in rural areas,BE,32.8125
Live in rural areas,BG,15.115
Live in rural areas,CH,51.82
Live in rural areas,CY,36.045
Live in rural areas,CZ,33.085
Live in rural areas,DE,34.0125
Live in rural areas,DK,46.207499999999996
Live in rural areas,EA,40.8575
Live in rural areas,EE,39.9625
Live in rural areas,EL,21.8125
Live in rural areas,ES,46.6925
Live in rural areas,EU27_2020,37.14
Live in rural areas,FI,56.6025
Live in rural areas,FR,48.2825
Live in rural areas,HR,40.54
Live in rural areas,HU,25.175
Live in rural areas,IE,47.92
Live in rural areas,IS,54.385
Live in rural areas,IT,37.5425
Live in rural areas,LT,38.775
Live in rural areas,LU,53.9
Live in rural areas,LV,35.9675
Live in rural areas,MK,14.21
Live in rural areas,MT,
Live in rural areas,NL,58.805
Live in rural areas,NO,53.7825
Live in rural areas,PL,33.695
Live in rural areas,PT,22.79
Live in rural areas,RO,15.787500000000001
Live in rural areas,SE,43.475
Live in rural areas,SI,33.785
Live in rural areas,SK,32.16
Live in towns and suburbs,AT,51.355000000000004
Live in towns and suburbs,BE,34.295
Live in towns and suburbs,BG,24.975
Live in towns and suburbs,CH,55.8225
Live in towns and suburbs,CY,36.4925
Live in towns and suburbs,CZ,37.8625
Live in towns and suburbs,DE,35.9075
Live in towns and suburbs,DK,52.2575
Live in towns and suburbs,EA,42.79
Live in towns and suburbs,EE,38.08
Live in towns and suburbs,EL,38.1
Live in towns and suburbs,ES,48.9125
Live in towns and suburbs,EU27_2020,41.62
Live in towns and suburbs,FI,60.7175
Live in towns and suburbs,FR,51.1
Live in towns and suburbs,HR,48.155
Live in towns and suburbs,HU,32.405
Live in towns and suburbs,IE,54.74
Live in towns and suburbs,IS,59.792500000000004
Live in towns and suburbs,IT,41.9925
Live in towns and suburbs,LT,38.875
Live in towns and suburbs,LU,46.6975
Live in towns and suburbs,LV,41.2575
Live in towns and suburbs,MK,15.815
Live in towns and suburbs,MT,45.2125
Live in towns and suburbs,NL,58.38250000000001
Live in towns and suburbs,NO,58.1575
Live in towns and suburbs,PL,37.855
Live in towns and suburbs,PT,30.66
Live in towns and suburbs,RO,24.8575
Live in towns and suburbs,SE,50.147499999999994
Live in towns and suburbs,SI,35.8725
Live in towns and suburbs,SK,39.3525
