geo_code,2021
AL,20.433333333333334
AT,57.339999999999996
BA,35.82
BE,41.07
BG,29.463333333333335
CH,62.19333333333333
CY,41.1
CZ,47.54
DE,43.86333333333334
DK,56.13333333333333
EA,50.29333333333333
EE,48.593333333333334
EL,40.95333333333334
ES,57.4
EU27_2020,48.0
FI,69.27
FR,57.4
HR,53.00333333333333
HU,37.67666666666667
IE,59.913333333333334
IS,63.050000000000004
IT,45.35666666666666
LT,46.24333333333334
LU,55.94333333333333
LV,43.92333333333334
ME,52.349999999999994
MK,22.856666666666666
MT,50.47666666666667
NL,63.99666666666667
NO,60.70333333333334
PL,41.45333333333333
PT,38.83
RO,25.27666666666667
RS,44.96333333333333
SE,57.00666666666667
SI,41.53333333333333
SK,44.45333333333334
TR,26.560000000000002
